"f_1372-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3481.2,1,0,0.5,0,0
3481.2,1,0.25,0.5,0.25,0
3476.8,1,0.5,0.5,0.5,0
3466.9,1,0.75,0.5,0.75,0
3451.7,1,1,0.5,1,0
3431.2,1,1.25,0.5,1.25,0
3405.4,1,1.5,0.5,1.5,0
3374.4,1,1.75,0.5,1.75,0
3338.2,1,2,0.5,2,0
3296.8,1,2.25,0.5,2.25,0
3250.3,1,2.5,0.5,2.5,0
3198.8,1,2.75,0.5,2.75,0
3142.4,1,3,0.5,3,0
3081.1,1,3.25,0.5,3.25,0
3015.1,1,3.5,0.5,3.5,0
2944.5,1,3.75,0.5,3.75,0
2869.3,1,4,0.5,4,0
2789.6,1,4.25,0.5,4.25,0
2705.7,1,4.5,0.5,4.5,0
2617.6,1,4.75,0.5,4.75,0
2525.5,1,5,0.5,5,0
2429.4,1,5.25,0.5,5.25,0
2329.7,1,5.5,0.5,5.5,0
2226.3,1,5.75,0.5,5.75,0
2119.5,1,6,0.5,6,0
2009.4,1,6.25,0.5,6.25,0
1896.2,1,6.5,0.5,6.5,0
1780.1,1,6.75,0.5,6.75,0
1661.3,1,7,0.5,7,0
1539.9,1,7.25,0.5,7.25,0
1416.1,1,7.5,0.5,7.5,0
1290.2,1,7.75,0.5,7.75,0
1162.2,1,8,0.5,8,0
1032.5,1,8.25,0.5,8.25,0
901.13,1,8.5,0.5,8.5,0
768.4,1,8.75,0.5,8.75,0
634.49,1,9,0.5,9,0
499.6,1,9.25,0.5,9.25,0
363.94,1,9.5,0.5,9.5,0
227.71,1,9.75,0.5,9.75,0
91.14,1,10,0.5,10,0
