"f_1372-0:0","f_1372-0:1","f_1372-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.9777e-10,0,0,1,0,0.5,0,0
-3.2718e-10,-8.7692e-06,0,1,0.25,0.5,0.25,0
-4.2286e-10,-1.7557e-05,0,1,0.5,0.5,0.5,0
-5.5977e-10,-2.6381e-05,0,1,0.75,0.5,0.75,0
-7.163e-10,-3.5261e-05,0,1,1,0.5,1,0
-8.8138e-10,-4.4215e-05,0,1,1.25,0.5,1.25,0
-1.0496e-09,-5.3261e-05,0,1,1.5,0.5,1.5,0
-1.2184e-09,-6.2416e-05,0,1,1.75,0.5,1.75,0
-1.3863e-09,-7.17e-05,0,1,2,0.5,2,0
-1.5526e-09,-8.1129e-05,0,1,2.25,0.5,2.25,0
-1.7168e-09,-9.0721e-05,0,1,2.5,0.5,2.5,0
-1.8786e-09,-0.00010049,0,1,2.75,0.5,2.75,0
-2.0377e-09,-0.00011046,0,1,3,0.5,3,0
-2.1938e-09,-0.00012065,0,1,3.25,0.5,3.25,0
-2.3466e-09,-0.00013106,0,1,3.5,0.5,3.5,0
-2.4959e-09,-0.00014173,0,1,3.75,0.5,3.75,0
-2.6416e-09,-0.00015265,0,1,4,0.5,4,0
-2.7832e-09,-0.00016385,0,1,4.25,0.5,4.25,0
-2.9207e-09,-0.00017535,0,1,4.5,0.5,4.5,0
-3.0538e-09,-0.00018715,0,1,4.75,0.5,4.75,0
-3.1823e-09,-0.00019927,0,1,5,0.5,5,0
-3.3059e-09,-0.00021173,0,1,5.25,0.5,5.25,0
-3.4245e-09,-0.00022453,0,1,5.5,0.5,5.5,0
-3.5379e-09,-0.0002377,0,1,5.75,0.5,5.75,0
-3.6458e-09,-0.00025123,0,1,6,0.5,6,0
-3.7479e-09,-0.00026515,0,1,6.25,0.5,6.25,0
-3.844e-09,-0.00027947,0,1,6.5,0.5,6.5,0
-3.9336e-09,-0.00029418,0,1,6.75,0.5,6.75,0
-4.016e-09,-0.00030932,0,1,7,0.5,7,0
-4.0898e-09,-0.00032487,0,1,7.25,0.5,7.25,0
-4.1528e-09,-0.00034086,0,1,7.5,0.5,7.5,0
-4.2007e-09,-0.00035728,0,1,7.75,0.5,7.75,0
-4.226e-09,-0.00037415,0,1,8,0.5,8,0
-4.2157e-09,-0.00039147,0,1,8.25,0.5,8.25,0
-4.1486e-09,-0.00040925,0,1,8.5,0.5,8.5,0
-3.9946e-09,-0.00042749,0,1,8.75,0.5,8.75,0
-3.7239e-09,-0.00044619,0,1,9,0.5,9,0
-3.353e-09,-0.00046537,0,1,9.25,0.5,9.25,0
-3.115e-09,-0.00048502,0,1,9.5,0.5,9.5,0
-3.9298e-09,-0.00050514,0,1,9.75,0.5,9.75,0
-7.2136e-09,-0.00052573,0,1,10,0.5,10,0
